Excluded Topic,Chatbot,Metric,Normalized Full Score,Normalized Leave-One-Topic-Out Score,Normalized Absolute Delta
Support System & Protective Factors,Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.828,0.0568
Support System & Protective Factors,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7488,0.0
Support System & Protective Factors,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1738,0.0064
Support System & Protective Factors,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.2012,0.0133
Support System & Protective Factors,Perplexity AI,Negative Sentiment Probability,0.4029,0.4348,0.0319
Support System & Protective Factors,Perplexity AI,Flesch Reading Ease,0.589,0.574,0.015
Support System & Protective Factors,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7985,0.0058
Support System & Protective Factors,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.7925,0.0
Safety Plan,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.1683,0.0023
Safety Plan,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.2133,0.0069
Safety Plan,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.2532,0.0114
Safety Plan,ChatGPT-5.4,Flesch Reading Ease,0.522,0.4852,0.0368
Safety Plan,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.7979,0.0
Safety Plan,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8148,0.0015
Safety Plan,Claude,ROUGE Lexical Overlap,0.1469,0.142,0.0049
Safety Plan,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.1935,0.0086
Safety Plan,Claude,Negative Sentiment Probability,0.2775,0.3044,0.0269
Safety Plan,Claude,Flesch Reading Ease,0.4558,0.4196,0.0362
Safety Plan,Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Claude,Crisis-Response Reference Similarity,0.7783,0.7783,0.0
Safety Plan,Claude,Risk-Assessment Reference Similarity,0.7664,0.7415,0.0249
Safety Plan,DeepSeek,ROUGE Lexical Overlap,0.1815,0.1837,0.0022
Safety Plan,DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.2319,0.0015
Safety Plan,DeepSeek,Negative Sentiment Probability,0.401,0.3981,0.0029
Safety Plan,DeepSeek,Flesch Reading Ease,0.6285,0.5935,0.0349
Safety Plan,DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,DeepSeek,Crisis-Response Reference Similarity,0.7944,0.7944,0.0
Safety Plan,DeepSeek,Risk-Assessment Reference Similarity,0.773,0.7749,0.0019
Safety Plan,Gemini,ROUGE Lexical Overlap,0.1295,0.1258,0.0037
Safety Plan,Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1422,0.0016
Safety Plan,Gemini,Negative Sentiment Probability,0.3087,0.313,0.0043
Safety Plan,Gemini,Flesch Reading Ease,0.5043,0.4762,0.0281
Safety Plan,Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Gemini,Crisis-Response Reference Similarity,0.7846,0.7846,0.0
Safety Plan,Gemini,Risk-Assessment Reference Similarity,0.7252,0.7375,0.0123
Safety Plan,Hugging Chat,ROUGE Lexical Overlap,0.1809,0.1786,0.0023
Safety Plan,Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2362,0.0086
Safety Plan,Hugging Chat,Negative Sentiment Probability,0.2723,0.2913,0.019
Safety Plan,Hugging Chat,Flesch Reading Ease,0.5602,0.5303,0.0299
Safety Plan,Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.7941,0.0
Safety Plan,Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.6871,0.0339
Safety Plan,Llama-3,ROUGE Lexical Overlap,0.1491,0.1392,0.0099
Safety Plan,Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.1458,0.005
Safety Plan,Llama-3,Negative Sentiment Probability,0.397,0.4246,0.0276
Safety Plan,Llama-3,Flesch Reading Ease,0.4527,0.4382,0.0145
Safety Plan,Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
Safety Plan,Llama-3,Crisis-Response Reference Similarity,0.7812,0.7812,0.0
Safety Plan,Llama-3,Risk-Assessment Reference Similarity,0.7875,0.7758,0.0117
Safety Plan,Mistral AI,ROUGE Lexical Overlap,0.1793,0.1774,0.0019
Safety Plan,Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.2037,0.0025
Safety Plan,Mistral AI,Negative Sentiment Probability,0.3211,0.3288,0.0077
Safety Plan,Mistral AI,Flesch Reading Ease,0.5884,0.5553,0.0332
Safety Plan,Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.7712,0.0
Safety Plan,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7106,0.0382
Safety Plan,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1798,0.0004
Safety Plan,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.2071,0.0074
Safety Plan,Perplexity AI,Negative Sentiment Probability,0.4029,0.4175,0.0146
Safety Plan,Perplexity AI,Flesch Reading Ease,0.589,0.5587,0.0303
Safety Plan,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7927,0.0
Safety Plan,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.789,0.0035
Risk Re-Assessment,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.1801,0.0095
Risk Re-Assessment,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.2302,0.01
Risk Re-Assessment,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.2887,0.0241
Risk Re-Assessment,ChatGPT-5.4,Flesch Reading Ease,0.522,0.4826,0.0394
Risk Re-Assessment,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Re-Assessment,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.7979,0.0
Risk Re-Assessment,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8735,0.0602
Risk Re-Assessment,Claude,ROUGE Lexical Overlap,0.1469,0.1535,0.0066
Risk Re-Assessment,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.2056,0.0035
Risk Re-Assessment,Claude,Negative Sentiment Probability,0.2775,0.29,0.0125
Risk Re-Assessment,Claude,Flesch Reading Ease,0.4558,0.4215,0.0343
Risk Re-Assessment,Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Re-Assessment,Claude,Crisis-Response Reference Similarity,0.7783,0.7783,0.0
Risk Re-Assessment,Claude,Risk-Assessment Reference Similarity,0.7664,0.8274,0.061
Risk Re-Assessment,DeepSeek,ROUGE Lexical Overlap,0.1815,0.1885,0.007
Risk Re-Assessment,DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.237,0.0066
Risk Re-Assessment,DeepSeek,Negative Sentiment Probability,0.401,0.4433,0.0423
Risk Re-Assessment,DeepSeek,Flesch Reading Ease,0.6285,0.5826,0.0459
Risk Re-Assessment,DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Re-Assessment,DeepSeek,Crisis-Response Reference Similarity,0.7944,0.7944,0.0
Risk Re-Assessment,DeepSeek,Risk-Assessment Reference Similarity,0.773,0.8461,0.0731
Risk Re-Assessment,Gemini,ROUGE Lexical Overlap,0.1295,0.1388,0.0093
Risk Re-Assessment,Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1517,0.0079
Risk Re-Assessment,Gemini,Negative Sentiment Probability,0.3087,0.2839,0.0248
Risk Re-Assessment,Gemini,Flesch Reading Ease,0.5043,0.5137,0.0094
Risk Re-Assessment,Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Re-Assessment,Gemini,Crisis-Response Reference Similarity,0.7846,0.7846,0.0
Risk Re-Assessment,Gemini,Risk-Assessment Reference Similarity,0.7252,0.7768,0.0516
Risk Re-Assessment,Hugging Chat,ROUGE Lexical Overlap,0.1809,0.1849,0.004
Risk Re-Assessment,Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2355,0.0079
Risk Re-Assessment,Hugging Chat,Negative Sentiment Probability,0.2723,0.3003,0.028
Risk Re-Assessment,Hugging Chat,Flesch Reading Ease,0.5602,0.5368,0.0234
Risk Re-Assessment,Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Re-Assessment,Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.7941,0.0
Risk Re-Assessment,Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.7509,0.0299
Risk Re-Assessment,Llama-3,ROUGE Lexical Overlap,0.1491,0.1517,0.0026
Risk Re-Assessment,Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.1492,0.0016
Risk Re-Assessment,Llama-3,Negative Sentiment Probability,0.397,0.3765,0.0205
Risk Re-Assessment,Llama-3,Flesch Reading Ease,0.4527,0.4355,0.0172
Risk Re-Assessment,Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
Risk Re-Assessment,Llama-3,Crisis-Response Reference Similarity,0.7812,0.7812,0.0
Risk Re-Assessment,Llama-3,Risk-Assessment Reference Similarity,0.7875,0.8619,0.0744
Risk Re-Assessment,Mistral AI,ROUGE Lexical Overlap,0.1793,0.18,0.0007
Risk Re-Assessment,Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.2025,0.0013
Risk Re-Assessment,Mistral AI,Negative Sentiment Probability,0.3211,0.3592,0.0381
Risk Re-Assessment,Mistral AI,Flesch Reading Ease,0.5884,0.552,0.0364
Risk Re-Assessment,Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Re-Assessment,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.7712,0.0
Risk Re-Assessment,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.812,0.0632
Risk Re-Assessment,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1837,0.0035
Risk Re-Assessment,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.2142,0.0003
Risk Re-Assessment,Perplexity AI,Negative Sentiment Probability,0.4029,0.4362,0.0333
Risk Re-Assessment,Perplexity AI,Flesch Reading Ease,0.589,0.5521,0.0369
Risk Re-Assessment,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Re-Assessment,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7927,0.0
Risk Re-Assessment,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.8563,0.0638
Risk Level Interpretation,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.1919,0.0213
Risk Level Interpretation,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.2477,0.0275
Risk Level Interpretation,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.2977,0.0331
Risk Level Interpretation,ChatGPT-5.4,Flesch Reading Ease,0.522,0.5872,0.0652
Risk Level Interpretation,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Level Interpretation,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.7979,0.0
Risk Level Interpretation,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8133,0.0
Risk Level Interpretation,Claude,ROUGE Lexical Overlap,0.1469,0.1653,0.0184
Risk Level Interpretation,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.2274,0.0253
Risk Level Interpretation,Claude,Negative Sentiment Probability,0.2775,0.3122,0.0347
Risk Level Interpretation,Claude,Flesch Reading Ease,0.4558,0.5128,0.057
Risk Level Interpretation,Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Level Interpretation,Claude,Crisis-Response Reference Similarity,0.7783,0.7783,0.0
Risk Level Interpretation,Claude,Risk-Assessment Reference Similarity,0.7664,0.7664,0.0
Risk Level Interpretation,DeepSeek,ROUGE Lexical Overlap,0.1815,0.2041,0.0226
Risk Level Interpretation,DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.2592,0.0288
Risk Level Interpretation,DeepSeek,Negative Sentiment Probability,0.401,0.4512,0.0502
Risk Level Interpretation,DeepSeek,Flesch Reading Ease,0.6285,0.707,0.0786
Risk Level Interpretation,DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Level Interpretation,DeepSeek,Crisis-Response Reference Similarity,0.7944,0.7944,0.0
Risk Level Interpretation,DeepSeek,Risk-Assessment Reference Similarity,0.773,0.773,0.0
Risk Level Interpretation,Gemini,ROUGE Lexical Overlap,0.1295,0.1457,0.0162
Risk Level Interpretation,Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1617,0.0179
Risk Level Interpretation,Gemini,Negative Sentiment Probability,0.3087,0.3472,0.0385
Risk Level Interpretation,Gemini,Flesch Reading Ease,0.5043,0.5674,0.063
Risk Level Interpretation,Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Level Interpretation,Gemini,Crisis-Response Reference Similarity,0.7846,0.7846,0.0
Risk Level Interpretation,Gemini,Risk-Assessment Reference Similarity,0.7252,0.7252,0.0
Risk Level Interpretation,Hugging Chat,ROUGE Lexical Overlap,0.1809,0.2035,0.0226
Risk Level Interpretation,Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2561,0.0285
Risk Level Interpretation,Hugging Chat,Negative Sentiment Probability,0.2723,0.3064,0.0341
Risk Level Interpretation,Hugging Chat,Flesch Reading Ease,0.5602,0.6303,0.07
Risk Level Interpretation,Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Level Interpretation,Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.7941,0.0
Risk Level Interpretation,Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.721,0.0
Risk Level Interpretation,Llama-3,ROUGE Lexical Overlap,0.1491,0.1678,0.0187
Risk Level Interpretation,Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.1697,0.0189
Risk Level Interpretation,Llama-3,Negative Sentiment Probability,0.397,0.4467,0.0497
Risk Level Interpretation,Llama-3,Flesch Reading Ease,0.4527,0.5093,0.0566
Risk Level Interpretation,Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
Risk Level Interpretation,Llama-3,Crisis-Response Reference Similarity,0.7812,0.7812,0.0
Risk Level Interpretation,Llama-3,Risk-Assessment Reference Similarity,0.7875,0.7875,0.0
Risk Level Interpretation,Mistral AI,ROUGE Lexical Overlap,0.1793,0.2018,0.0225
Risk Level Interpretation,Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.2264,0.0252
Risk Level Interpretation,Mistral AI,Negative Sentiment Probability,0.3211,0.3612,0.0401
Risk Level Interpretation,Mistral AI,Flesch Reading Ease,0.5884,0.662,0.0736
Risk Level Interpretation,Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Level Interpretation,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.7712,0.0
Risk Level Interpretation,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7488,0.0
Risk Level Interpretation,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1843,0.0041
Risk Level Interpretation,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.225,0.0105
Risk Level Interpretation,Perplexity AI,Negative Sentiment Probability,0.4029,0.3411,0.0618
Risk Level Interpretation,Perplexity AI,Flesch Reading Ease,0.589,0.6397,0.0507
Risk Level Interpretation,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Level Interpretation,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7927,0.0
Risk Level Interpretation,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.7925,0.0
Other important assessment aspects,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.1692,0.0014
Other important assessment aspects,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.2171,0.0031
Other important assessment aspects,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.2882,0.0236
Other important assessment aspects,ChatGPT-5.4,Flesch Reading Ease,0.522,0.5619,0.0399
Other important assessment aspects,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Other important assessment aspects,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.8072,0.0093
Other important assessment aspects,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8133,0.0
Other important assessment aspects,Claude,ROUGE Lexical Overlap,0.1469,0.1453,0.0016
Other important assessment aspects,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.1978,0.0043
Other important assessment aspects,Claude,Negative Sentiment Probability,0.2775,0.2357,0.0418
Other important assessment aspects,Claude,Flesch Reading Ease,0.4558,0.499,0.0432
Other important assessment aspects,Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
Other important assessment aspects,Claude,Crisis-Response Reference Similarity,0.7783,0.7493,0.029
Other important assessment aspects,Claude,Risk-Assessment Reference Similarity,0.7664,0.7664,0.0
Other important assessment aspects,DeepSeek,ROUGE Lexical Overlap,0.1815,0.1865,0.005
Other important assessment aspects,DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.2379,0.0075
Other important assessment aspects,DeepSeek,Negative Sentiment Probability,0.401,0.3794,0.0216
Other important assessment aspects,DeepSeek,Flesch Reading Ease,0.6285,0.6657,0.0372
Other important assessment aspects,DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
Other important assessment aspects,DeepSeek,Crisis-Response Reference Similarity,0.7944,0.7558,0.0386
Other important assessment aspects,DeepSeek,Risk-Assessment Reference Similarity,0.773,0.773,0.0
Other important assessment aspects,Gemini,ROUGE Lexical Overlap,0.1295,0.1287,0.0008
Other important assessment aspects,Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1446,0.0008
Other important assessment aspects,Gemini,Negative Sentiment Probability,0.3087,0.2757,0.033
Other important assessment aspects,Gemini,Flesch Reading Ease,0.5043,0.5172,0.0129
Other important assessment aspects,Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
Other important assessment aspects,Gemini,Crisis-Response Reference Similarity,0.7846,0.7413,0.0433
Other important assessment aspects,Gemini,Risk-Assessment Reference Similarity,0.7252,0.7252,0.0
Other important assessment aspects,Hugging Chat,ROUGE Lexical Overlap,0.1809,0.1863,0.0054
Other important assessment aspects,Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2291,0.0015
Other important assessment aspects,Hugging Chat,Negative Sentiment Probability,0.2723,0.257,0.0153
Other important assessment aspects,Hugging Chat,Flesch Reading Ease,0.5602,0.5986,0.0384
Other important assessment aspects,Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
Other important assessment aspects,Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.7702,0.0239
Other important assessment aspects,Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.721,0.0
Other important assessment aspects,Llama-3,ROUGE Lexical Overlap,0.1491,0.1496,0.0005
Other important assessment aspects,Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.1511,0.0003
Other important assessment aspects,Llama-3,Negative Sentiment Probability,0.397,0.3816,0.0154
Other important assessment aspects,Llama-3,Flesch Reading Ease,0.4527,0.466,0.0132
Other important assessment aspects,Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
Other important assessment aspects,Llama-3,Crisis-Response Reference Similarity,0.7812,0.7449,0.0363
Other important assessment aspects,Llama-3,Risk-Assessment Reference Similarity,0.7875,0.7875,0.0
Other important assessment aspects,Mistral AI,ROUGE Lexical Overlap,0.1793,0.186,0.0067
Other important assessment aspects,Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.2098,0.0086
Other important assessment aspects,Mistral AI,Negative Sentiment Probability,0.3211,0.3468,0.0257
Other important assessment aspects,Mistral AI,Flesch Reading Ease,0.5884,0.6199,0.0314
Other important assessment aspects,Mistral AI,Non-Hateful Language Probability,0.9995,0.9996,0.0001
Other important assessment aspects,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.751,0.0202
Other important assessment aspects,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7488,0.0
Other important assessment aspects,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1848,0.0046
Other important assessment aspects,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.2226,0.0081
Other important assessment aspects,Perplexity AI,Negative Sentiment Probability,0.4029,0.4198,0.0169
Other important assessment aspects,Perplexity AI,Flesch Reading Ease,0.589,0.6223,0.0333
Other important assessment aspects,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Other important assessment aspects,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7867,0.006
Other important assessment aspects,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.7925,0.0
